(17, 179, 41)
(49, 103, 83)
(81, 72, 97)
(103, 67, 112)
(125, 18, 125)
(126, 100, 138)
(127, 192, 166)
(63, 79, 194)
(35, 98, 84)
(98, 164, 168)
(162, 154, 160)
(206, 180, 152)
(251, 100, 169)
(253, 191, 185)
(255, 133, 147)
(127, 127, 109)
(98, 51, 126)
(110, 163, 253)
(121, 200, 223)
(136, 104, 193)
(151, 14, 213)
(162, 89, 233)
(174, 22, 129)
(87, 95, 25)
(162, 95, 70)
(121, 237, 140)
(81, 164, 151)
(66, 22, 162)
(52, 80, 198)
(72, 130, 234)
(93, 127, 166)
(46, 232, 98)
(151, 92, 14)
(119, 136, 28)
(87, 197, 79)
(105, 133, 131)
(123, 155, 183)
(105, 120, 236)
(87, 127, 203)
(43, 141, 171)
(141, 84, 25)
(117, 19, 50)
(93, 108, 71)
(144, 158, 92)
(195, 110, 128)
(138, 71, 164)
(81, 157, 159)
(40, 207, 154)
(160, 226, 36)
(143, 134, 73)
(127, 61, 63)
(129, 128, 54)
(131, 57, 73)
(147, 144, 93)
(164, 226, 115)
(82, 117, 137)
(179, 114, 18)
(170, 233, 36)
(162, 133, 31)
(115, 238, 27)
(68, 130, 36)
(157, 225, 46)
(247, 121, 57)
(123, 35, 68)
(116, 138, 96)
(64, 88, 192)
(12, 194, 113)
(65, 130, 35)
(118, 164, 98)
(64, 106, 162)
(11, 180, 176)
(5, 58, 191)
(255, 126, 32)
(153, 127, 64)
(51, 161, 99)
(125, 253, 135)
(200, 139, 135)
(107, 193, 134)
(14, 167, 140)
(7, 233, 146)
(214, 22, 12)
(158, 126, 25)
(103, 162, 131)
(96, 137, 237)
(90, 81, 129)
(132, 101, 22)
(174, 52, 76)
(87, 125, 130)
(93, 107, 33)
(92, 232, 66)
(92, 180, 139)
(144, 28, 213)
(197, 106, 125)
(176, 131, 37)
(155, 163, 38)
(77, 236, 39)
(59, 127, 85)
(123, 164, 171)
(187, 141, 95)
(157, 123, 19)
(127, 93, 88)
(155, 125, 158)
(184, 195, 114)
(92, 89, 71)
(81, 166, 84)
(153, 207, 169)
(226, 85, 142)
(143, 73, 116)
(61, 109, 117)
(59, 54, 119)
(57, 113, 119)
(28, 93, 119)
(94, 226, 68)
(100, 171, 137)
(105, 179, 185)
(101, 157, 233)
(96, 162, 235)
(106, 147, 238)
(116, 68, 231)
(58, 82, 225)
(247, 60, 56)
(141, 35, 113)
(35, 71, 71)
(59, 179, 30)
(83, 76, 29)
(97, 72, 28)
(112, 45, 70)
(56, 18, 113)
(98, 180, 125)
(88, 125, 251)
(77, 191, 253)
(70, 138, 255)
(63, 127, 153)
(67, 137, 51)
(70, 253, 125)
(35, 68, 200)
(193, 83, 101)
(213, 14, 202)
(233, 66, 127)
(129, 22, 53)
(25, 111, 99)
(53, 162, 145)
(81, 120, 118)
(40, 22, 92)
(39, 52, 65)
(82, 84, 130)
(124, 93, 181)
(127, 118, 232)
(130, 92, 130)
(155, 147, 28)
(179, 197, 79)
(89, 170, 131)
(155, 147, 123)
(141, 236, 246)
(127, 150, 192)
(134, 171, 138)
(141, 172, 127)
(117, 19, 117)
(93, 101, 107)
(46, 158, 96)
(158, 195, 35)
(113, 92, 71)
(68, 81, 139)
(89, 121, 207)
(109, 226, 140)
(116, 125, 73)
(123, 61, 63)
(61, 56, 54)
(57, 87, 98)
(141, 93, 197)
(226, 125, 168)
(202, 137, 139)
(179, 189, 166)
(170, 233, 193)
(162, 188, 168)
(81, 238, 143)
(190, 68, 112)
(178, 171, 225)
(167, 247, 130)
(165, 78, 35)
(163, 35, 107)
(136, 74, 179)
(110, 83, 125)
(55, 79, 72)
(112, 24, 51)
(125, 18, 103)
(138, 109, 70)
(166, 192, 36)
(194, 72, 31)
(179, 35, 27)
(164, 63, 36)
(82, 162, 46)
(103, 253, 100)
(70, 168, 200)
(36, 193, 107)
(31, 121, 14)
(27, 233, 18)
(36, 78, 22)
(46, 25, 92)
(23, 62, 162)
(237, 71, 101)
(129, 81, 202)
(22, 153, 150)
(76, 52, 98)
(130, 104, 111)
(181, 93, 123)
(232, 123, 141)
(116, 92, 159)
(73, 28, 98)
(116, 53, 197)
(158, 131, 176)
(145, 160, 155)
(133, 236, 163)
(112, 131, 171)
(91, 141, 95)
(45, 110, 19)
(93, 132, 111)
(144, 158, 222)
(195, 113, 216)
(138, 71, 209)
(81, 141, 213)
(153, 207, 216)
(226, 182, 204)
(113, 73, 192)
(134, 61, 27)
(85, 119, 54)
(36, 57, 73)
(108, 140, 93)
(181, 226, 115)
(114, 208, 137)
(47, 179, 185)
(23, 108, 233)
(162, 78, 38)
(115, 238, 77)
(68, 179, 156)
(157, 225, 234)
(247, 108, 129)
(141, 35, 25)
(35, 115, 77)
(17, 179, 130)
(124, 83, 36)
(127, 165, 72)
(131, 112, 45)
(119, 104, 18)
(108, 138, 105)
(132, 139, 192)
(156, 194, 113)
(78, 156, 35)
(164, 58, 20)
(172, 162, 40)
(180, 155, 76)
(185, 251, 113)
(191, 144, 71)
(159, 255, 30)
(127, 90, 29)
(63, 51, 28)
(34, 25, 81)
(78, 121, 162)
(123, 237, 121)
(70, 73, 81)
(17, 22, 66)
(29, 82, 52)
(41, 130, 72)
(20, 50, 93)
(232, 110, 21)
(130, 92, 43)
(28, 163, 131)
(79, 197, 219)
(131, 145, 127)
(183, 155, 35)
(236, 156, 78)
(118, 127, 122)
(126, 171, 70)
(115, 138, 141)
(104, 19, 117)
(132, 142, 93)
(159, 158, 144)
(151, 118, 195)
(144, 71, 138)
(72, 108, 81)
(207, 145, 48)
(140, 226, 97)
(73, 192, 101)
(65, 61, 106)
(57, 108, 125)
(141, 93, 144)
(226, 129, 155)
(113, 137, 167)
(111, 179, 116)
(91, 146, 233)
(72, 162, 235)
(100, 139, 238)
(128, 68, 231)
(130, 142, 225)
